Sample_id,Type,ACE-N509-H10N2,ACP3-N220-H5N4S2F1,ACP3-N220-H6N5S2F3,ACP3-N333-H6N2,ACP3-N333-H8N2,ACP3-N94-H3N3F1,ACP3-N94-H4N3,ACP3-N94-H4N3F1,ACP3-N94-H5N4,ACP3-N94-H5N4F1,ACP3-N94-H5N4S1,ACP3-N94-H5N4S2,ACP3-N94-H5N5S2,ACP3-N94-H5N5S2F1,ACP3-N94-H6N5S3,ACP3-N94-H7N6S2,ADGRG2-N551-H9N2,AGRN-N135-H5N4S2,AGRN-N250-H3N2F2,AGRN-N250-H4N3S1F1,AGRN-N250-H4N3S1F2,AGRN-N250-H5N4F1+174.05,AGRN-N250-H5N4F4,AGRN-N250-H5N4S1,AGRN-N250-H5N4S2F2,AGRN-N932-H4N3S1F1,AGRN-N932-H5N4F2,AGRN-N932-H5N4S1,AGRN-N932-H5N4S1F1,ANGPT1-N122-H6N5F3,ANGPT1-N122-H6N5F4,BTD-N349-H6N5F4,C1QTNF1-N93-H5N4F3,CANT1-N88-H5N4F3,CHGB-N315-H5N3F2+204.06,CHGB-N315-H5N3F3+204.06,CHGB-N315-H5N4S1,CHGB-N315-H5N4S1F2,CHST11-N205-H6N5F4,CLU-N103-H10N7F1,CLU-N103-H10N9,CLU-N103-H10N9F1,CLU-N103-H11N7F2,CLU-N103-H4N6F2,CLU-N103-H5N3+242.02,CLU-N103-H5N4F1,CLU-N103-H5N4F1+174.05,CLU-N103-H5N4F2,CLU-N103-H5N4F2+163.09,CLU-N103-H5N4S1F1,CLU-N103-H5N4S2F1,CLU-N103-H5N5F4,CLU-N103-H6N5F1,CLU-N103-H6N5F3,CLU-N103-H6N5F4,CLU-N103-H6N5S1F1,CLU-N103-H6N5S1F3,CLU-N103-H6N5S2F1,CLU-N103-H6N5S2F2,CLU-N103-H6N5S2F3,CLU-N103-H6N5S3F1,CLU-N103-H6N6F3,CLU-N103-H7N5F3,CLU-N103-H7N5F4,CLU-N103-H7N6S1F4,CLU-N103-H7N6S1F5,CLU-N103-H8N6,CLU-N103-H8N7S1F1,CLU-N103-H9N6,CLU-N103-H9N7F4,CLU-N291-H4N3F1,CLU-N291-H4N3F3,CLU-N291-H4N3S1,CLU-N291-H5N2,CLU-N291-H5N3F3+203.08,CLU-N291-H5N3S1,CLU-N291-H5N4F1,CLU-N291-H6N2,CLU-N291-H6N3S1,CLU-N291-H6N4F3,CLU-N291-H6N5S3,CLU-N291-H7N2,CLU-N291-H7N4F1,CLU-N291-H7N4F2,CLU-N291-H7N6F6,CLU-N291-H9N6,CLU-N354-H3N3F2,CLU-N354-H4N2+163.04,CLU-N354-H4N2+190.04,CLU-N354-H4N3F2,CLU-N354-H5N3,CLU-N354-H5N3F2+162.05,CLU-N354-H5N3F3+204.06,CLU-N354-H5N3S1F1,CLU-N354-H5N4F1+174.05,CLU-N354-H5N4F2,CLU-N354-H5N4F2+163.09,CLU-N354-H5N4F2+202.05,CLU-N354-H5N4S1F2,CLU-N354-H5N8F1,CLU-N354-H6N2,CLU-N354-H6N3S1,CLU-N354-H6N3S1F1,CLU-N354-H6N4F1,CLU-N354-H6N4F3,CLU-N354-H6N5F1,CLU-N354-H6N5F3,CLU-N354-H6N5F4,CLU-N354-H6N5S1F3,CLU-N354-H7N4F3,CLU-N354-H7N5F2,CLU-N354-H8N5F4,CLU-N354-H9N6,CLU-N374-H10N7F1,CLU-N374-H10N9,CLU-N374-H10N9F1,CLU-N374-H11N10F1,CLU-N374-H11N7F2,CLU-N374-H12N11,CLU-N374-H4N3F2,CLU-N374-H4N5F2,CLU-N374-H4N5F4,CLU-N374-H5N3F3+203.07,CLU-N374-H5N4F1+174.05,CLU-N374-H5N4F2,CLU-N374-H5N4F2+202.05,CLU-N374-H5N4F3,CLU-N374-H5N4S2,CLU-N374-H5N5F4,CLU-N374-H5N6F4,CLU-N374-H6N5F3,CLU-N374-H6N5F4,CLU-N374-H6N5F6,CLU-N374-H6N5S1F2,CLU-N374-H6N5S1F3,CLU-N374-H6N5S1F4,CLU-N374-H6N5S2,CLU-N374-H6N5S2F2,CLU-N374-H6N5S2F4,CLU-N374-H6N5S3,CLU-N374-H6N6F4,CLU-N374-H7N6F2,CLU-N374-H7N6F3,CLU-N374-H7N6F5,CLU-N374-H7N6S1F4,CLU-N374-H7N6S1F6,CLU-N374-H8N6,CLU-N374-H8N7S1F6,CLU-N374-H8N8,CLU-N374-H9N6,CLU-N374-H9N7F1,CLU-N374-N1F1,CLU-N86-H10N7F1,CLU-N86-H10N7F2,CLU-N86-H10N9,CLU-N86-H11N7F2,CLU-N86-H11N8F1,CLU-N86-H5N4F2,CLU-N86-H5N4S2,CLU-N86-H5N6F5,CLU-N86-H6N5,CLU-N86-H6N5S1,CLU-N86-H6N5S2,CLU-N86-H6N5S2F5,CLU-N86-H6N6F5,CLU-N86-H6N6S3,CLU-N86-H7N6F3,CLU-N86-H7N8F1,CLU-N86-H8N7F1,CLU-N86-H8N7F2,CLU-N86-H8N7F5,CLU-N86-H9N5F4,CLU-N86-H9N6,CLU-N86-H9N7,CPE-N139-H5N3F2+162.05,CPE-N139-H6N3S1,CPE-N390-H5N4F3,CPZ-N57-H5N4F2,CPZ-N57-H5N4F5,CPZ-N57-H6N5F3,CPZ-N57-H7N6F5,CPZ-N57-H8N7,CTSC-N53-H6N5F4,CTSF-N367-H5N4F3,EFEMP2-N198-H5N4F4,FAM3B-N120-H5N4F3,FAM3D-N107-H5N4F4,FN1-N1007-H4N2+163.04,FN1-N1007-H4N2+190.04,FN1-N1007-H4N3F2,FN1-N1007-H4N4F1,FN1-N1007-H5N3
MA.5,AZS_C1,0,24.16070404,0,28.08003074,0,18.87143582,20.17880472,21.34022222,22.52055523,22.17644544,0,0,0,0,21.29517922,0,0,0,21.06303878,0,22.555766,0,0,0,23.38444374,0,0,0,25.01599008,0,0,20.30145969,0,21.33518172,22.00483252,24.35957716,0,0,20.3297488,0,22.78148495,23.23200437,0,0,0,23.90088314,0,26.63517807,0,25.95824345,20.19306246,0,22.02877252,27.19510996,29.00464034,22.91523555,24.41935264,20.29406061,0,22.43436875,21.50020286,0,24.05265415,23.47123072,20.50648568,20.57451827,0,19.64155223,0,23.38793747,0,0,0,0,0,21.98013674,0,22.00459206,19.96916585,0,0,0,0,0,0,0,21.92873124,24.70641656,0,24.53181426,19.95056725,0,20.82194418,0,0,26.14446814,0,0,19.68943803,19.86456923,23.15432677,20.15303076,0,23.58104842,0,23.17461638,25.68466599,26.02815704,0,0,0,0,0,0,24.88433752,26.14183993,22.75223487,0,22.17620388,25.5973643,21.52917353,0,0,0,27.96021066,0,29.98385859,23.06040211,23.0919103,24.88332488,27.92258711,29.68612692,25.64207667,23.2767289,25.35173511,25.38161409,23.32758781,21.49958344,22.67362268,0,0,21.40951985,23.45854258,27.62917946,23.95725868,0,0,21.69736794,0,0,22.69958479,21.59252833,0,0,21.89365103,0,0,21.62260207,0,0,20.76961528,21.856823,22.7007091,0,0,0,0,0,0,0,0,0,0,24.05423044,0,25.2657529,0,22.8231047,23.41455331,22.03392058,22.67676583,23.38478038,0,0,0,0,22.64907148,20.85785889,0,25.00240329,23.45083428,23.11646975
SCO.1,AZS_C1,19.35967794,0,0,25.55843751,0,0,0,0,18.61016044,18.66668486,22.61534648,0,0,0,0,0,0,0,20.73685141,0,22.3149164,23.1741887,0,0,23.42053171,0,21.83981272,0,23.84955966,0,0,0,0,0,0,0,0,0,0,22.85029697,0,0,21.33177308,0,0,0,23.27399663,24.21450853,26.24585966,0,0,23.72824622,23.53623122,24.78648056,26.13161527,0,22.14994716,0,0,0,0,23.05086632,0,22.7139878,0,0,22.358883,0,22.86032629,0,21.91883753,20.24587442,0,20.24042577,0,20.38476363,0,18.97570621,21.6838096,23.73715497,0,0,22.76564112,23.10269957,0,0,0,0,0,22.55760654,0,0,0,0,24.11596387,24.10927725,24.69961042,23.09610276,20.08906259,0,23.06504253,0,0,23.70037749,23.79501393,22.26377528,23.03256974,23.60669144,0,21.97134872,21.26542892,0,20.57826642,23.40392112,0,0,0,0,0,23.21165641,0,0,0,22.95111968,24.47639621,23.89345622,27.45687787,0,24.30189875,0,24.67502373,26.80987981,25.61642128,0,0,20.85691772,0,0,0,0,24.82257655,22.78969095,23.89371966,24.14584707,20.11242095,0,21.38742329,0,25.29819045,23.837539,21.27312435,20.81616682,24.43511122,21.65661433,0,24.0635401,0,23.15639182,0,0,0,0,0,18.56601522,23.03101072,24.85289458,0,21.84630369,0,0,0,0,0,21.57253433,0,22.66820551,0,0,0,0,0,0,0,0,20.53719027,0,20.05439491,0,0,24.08330221,23.74144888,0
SCO.2,AZS_C1,18.64892153,0,0,27.60408926,0,0,0,0,0,0,20.51302843,0,0,0,0,0,0,0,18.16480286,0,19.77094405,22.55372851,22.51585293,0,0,0,24.08503806,0,22.78316786,0,0,0,0,0,0,0,0,0,0,25.37497912,0,0,25.35448316,0,20.21503999,21.94901509,23.79065446,25.20702328,0,0,0,0,24.11952659,25.08147981,25.23816625,0,20.23103097,0,0,0,0,21.73773077,0,25.59999186,0,0,25.52860218,0,26.37445836,0,21.92592985,23.01627853,0,19.63435991,21.28146936,0,18.68521239,0,0,26.34565327,0,0,22.95677397,23.66659548,25.32348558,22.18727976,0,0,0,23.8965447,0,0,0,0,23.9945445,26.17697343,0,23.13956,0,0,24.23977556,0,0,21.8891106,26.7622879,22.4762987,22.8845097,24.37251836,0,25.47264259,21.94267841,21.71052733,24.10321215,27.27289922,0,0,0,22.57758741,0,22.89739189,0,24.27321838,0,23.4696535,21.15144178,24.20164788,26.42919492,20.03450363,24.70454962,24.78431475,25.80250277,27.53396955,26.1270573,0,0,22.36584242,0,0,0,0,25.09117968,23.17527665,23.99246424,25.2031687,19.86896896,0,25.83710266,0,26.1267925,26.87450477,25.9521152,22.39645585,26.86536366,26.13205761,0,27.56204101,27.0830813,0,0,21.13923866,0,0,0,0,0,24.32332911,0,24.58208582,0,22.40941076,0,22.33734395,25.57133076,25.12044185,0,21.51920528,0,0,0,0,0,0,0,0,20.25525632,0,0,0,0,23.89854662,23.71185144,0
SCO.3,AZS_C1,19.47963393,22.47543345,0,25.38890082,0,16.00508205,0,17.73891783,18.45153852,19.22685261,19.65088763,0,0,0,0,0,18.08610904,0,19.85469079,19.71257876,22.78410387,21.83468832,0,0,21.51262656,20.3123991,0,0,25.33948083,0,0,0,21.16749406,0,0,0,0,0,0,22.43457247,0,0,22.11594031,0,20.06398841,0,23.02244413,24.95867434,0,21.58480479,0,23.31077073,23.52245002,24.83809678,26.54439921,21.21421092,22.6542175,0,0,0,0,22.85567492,0,22.76999255,0,0,22.81376346,0,23.7636903,0,21.70740115,22.82838382,18.76415656,20.24963724,26.10169166,20.26586212,19.00877196,0,21.46054707,0,20.39459626,0,0,0,24.74743552,0,0,0,0,24.11601066,21.7732073,0,0,0,25.44700124,26.9147981,0,23.81847172,21.12863067,0,24.00359452,0,0,22.45076136,25.43867739,23.91797558,24.20516589,24.6608557,0,23.76236458,0,23.17855287,21.49193055,0,0,22.77305508,0,0,0,24.45834714,0,25.35109503,0,24.06189189,25.42864094,24.3516233,28.25848594,0,24.01472129,0,25.06172506,26.84085771,25.51162165,0,23.43157094,23.50739714,0,21.05857754,0,0,23.86901541,23.47537173,23.60795984,24.23912775,21.18169819,0,20.78690754,0,0,23.04171365,21.31400103,21.12489688,23.66935275,0,0,22.50740054,22.41606808,0,0,0,0,0,18.95930455,0,0,0,0,21.39683873,0,0,0,0,23.37718039,21.76297791,0,22.64934802,22.20174839,0,22.46166664,0,0,0,0,0,20.5310497,0,20.53926531,0,0,24.31230317,23.73831058,0
SCO.4,AZS_C1,20.08943344,0,0,26.21988759,0,0,0,0,18.79958749,19.27452404,20.0438109,0,0,0,0,0,17.66196593,0,20.11331079,18.0812774,22.09618597,23.33137775,0,0,0,0,0,0,25.22973793,0,0,0,0,0,0,0,0,0,0,23.07862075,0,0,0,0,0,0,23.47578367,24.82959689,0,21.08473299,0,22.12856204,24.37861341,25.91621296,27.69634545,20.58293677,22.23715236,0,0,0,0,24.65229211,22.59995793,0,0,0,22.86238864,0,23.69381187,0,0,22.65859446,19.83671311,20.20677751,0,21.70854102,19.30308156,0,22.13126053,24.10911162,0,0,23.37107471,22.87142657,25.66576498,0,0,0,26.02383707,22.98104542,0,0,0,0,23.94351441,25.40038138,0,22.81513511,0,0,23.91113347,0,0,22.2820404,24.82963362,23.00615455,24.67714193,24.50557192,0,24.69499831,23.53982684,23.18216122,22.80679289,23.99617042,0,23.42828628,0,21.15302089,0,23.44793292,0,0,0,23.45423895,24.85912024,24.35006111,28.05455336,21.89213304,22.67445071,0,25.46210888,28.09850634,25.67235018,0,0,21.44261118,0,20.63141654,0,0,23.94154574,25.24885925,23.4958398,24.20155038,0,0,22.87371901,0,23.92774573,23.81499712,24.43720383,0,24.0541452,24.10263504,0,23.11761983,0,21.37371197,0,21.58156316,0,0,0,0,0,0,0,22.64098319,0,0,0,0,0,23.84991876,0,22.9970562,0,23.91991851,22.37920674,20.97850153,0,0,0,0,19.26473128,0,0,0,26.23794158,23.7851433,22.96505454,0
SCO.5,AZS_C1,20.15368275,0,0,27.20345081,0,0,16.5036894,17.76107537,17.85988077,18.01162005,19.47387639,0,18.77053224,0,0,0,0,0,18.98804685,19.46590319,22.1095635,0,21.51256702,0,0,0,22.76758761,19.89375036,24.83067157,0,0,0,0,0,0,0,0,18.04611194,0,24.82282354,0,0,23.87767465,0,21.22026089,0,0,25.35570039,27.32562284,21.95984579,23.57555119,0,22.45841283,25.49683106,26.50775376,0,20.06135707,21.04788343,0,19.66397088,0,0,19.60950997,26.15007353,0,0,25.38186054,0,26.02780071,0,22.10167532,23.06841918,19.01130151,20.24806746,0,21.78069536,22.17581833,18.77082692,22.57093305,25.85672806,22.23945633,0,22.04282081,23.29898318,25.42263533,21.00748931,0,0,0,23.50080472,0,0,0,0,0,26.55814369,25.25962884,0,0,0,23.16854061,0,22.40514478,23.6697335,25.66599923,21.71754738,24.12230113,24.45857602,0,22.77162371,22.47852704,23.28532604,21.13444043,26.95414624,21.47843782,23.65146969,0,24.26157481,0,23.92177136,0,23.70653842,0,0,25.27409061,0,27.99415296,21.76612896,23.93745891,24.12002183,25.670728,27.89756902,27.1677841,0,24.53926205,24.61378088,0,22.05246489,0,0,20.9510435,20.11638996,0,25.45845807,0,22.08047094,25.7442057,0,21.91063722,26.71633101,26.16223893,21.48885541,0,26.85351018,0,28.6651488,23.92096193,23.5481659,20.22446539,0,0,0,0,0,0,0,0,23.04386249,0,0,0,21.20516867,25.39533424,25.51268377,0,23.19993915,0,0,0,0,0,22.34496088,0,0,20.59644028,0,21.31783699,0,0,24.63511743,25.66767188,0
SCO.6,AZS_C1,21.44682835,23.28738754,23.13258852,28.97002895,23.0649936,0,18.0676496,19.496359,20.27743927,20.63747755,23.69896284,20.42945629,0,0,0,0,19.05191136,21.52439692,20.97647923,21.58819645,23.26584691,0,20.99250626,0,0,20.14483834,20.61996844,0,26.22198888,0,20.78190477,0,21.82335755,0,0,0,0,0,0,23.49406315,0,0,23.17574754,0,20.17991862,0,0,24.46565411,26.61949142,22.44069544,23.94922232,21.8800808,22.30913675,25.02412457,26.99297707,22.48412358,22.57884408,22.55412733,0,0,22.67266187,0,0,23.94137731,0,0,23.58320832,21.43219451,24.34023788,0,22.71435895,23.96729265,20.93641812,21.50024139,20.68671734,22.6753209,21.0542145,18.8952786,23.02243664,25.17784919,21.63530715,0,23.98388293,20.83277808,0,0,0,0,0,23.90117325,21.98942836,0,0,0,0,26.85713739,26.69501731,0,23.22094787,0,24.65894513,22.21433161,0,24.54492114,25.79965508,23.34933762,24.70387913,25.63631086,0,0,22.99161124,20.97369644,0,25.27067292,0,0,0,21.82695433,0,24.29742539,0,22.82690516,0,0,25.7659866,0,28.63500106,22.55878214,22.9459322,0,25.26973579,27.76267331,25.58177762,0,0,0,0,21.14751175,0,0,0,0,0,25.73967206,0,0,21.89104695,0,0,0,24.46157377,0,24.59171155,25.47049969,0,26.54831468,22.24213383,23.94251236,21.32583946,21.37639275,0,0,21.7801668,0,22.53415182,20.61649993,0,23.01616508,0,0,0,0,22.79494602,24.30469759,0,23.92475501,21.76103086,0,21.38841113,0,0,0,0,0,20.2446007,0,21.52023133,0,0,24.23047399,23.83704119,0
SCO.7,AZS_C1,0,0,0,25.59813175,0,0,0,0,17.27881591,17.5365327,20.60423999,0,0,0,0,0,0,0,19.46766357,18.84566542,21.62113023,22.22423225,0,0,0,19.53448796,21.01988767,0,24.76463238,0,0,19.39810345,21.15696466,0,0,0,0,0,0,21.57126503,0,0,21.30830265,22.17206052,0,22.36410917,23.44282515,24.94039655,26.6193191,20.95770202,22.13647028,0,24.54985485,26.12613629,27.40423561,0,22.72520393,0,23.20226476,0,0,24.22487114,0,23.28293643,0,0,21.84450707,0,22.44410254,0,0,0,0,0,0,0,19.49729975,0,20.70044772,0,0,0,0,0,0,0,0,0,0,23.15318572,0,0,0,0,25.14422903,26.50737118,25.95676466,23.76911912,0,0,22.892583,0,0,0,21.02645094,24.25189665,24.36028474,24.78309867,0,22.25634805,22.8245593,21.25521185,20.74856691,0,0,22.54443249,0,0,0,23.00439997,0,0,0,24.38140843,22.34510292,24.49963191,21.75542793,19.54130843,0,25.20123279,24.98122719,28.10416178,24.63786862,0,21.11756025,0,19.67725778,20.52959905,0,0,0,25.07271367,22.52639504,25.41121782,20.53605617,0,21.13350533,0,0,23.04644986,0,0,23.33990736,22.13199223,0,21.56232647,22.10503726,23.27041014,0,0,0,0,0,0,0,23.86070243,0,0,0,0,0,0,0,21.10716382,0,22.41940655,0,0,19.62017907,21.17390661,0,0,0,0,18.62741622,0,0,0,0,24.29631543,23.53585575,0
SCO.8,AZS_C1,19.63519749,0,0,27.00363523,0,0,0,0,0,0,18.68662321,0,0,0,0,0,0,0,19.68693721,18.42834358,22.35321775,22.79832317,0,0,22.5964209,0,0,0,24.83965127,0,0,0,0,0,0,0,0,0,0,22.83486801,0,0,23.45209992,0,19.86087147,0,22.62130337,24.09841679,26.75037065,21.52620122,22.90287866,0,23.66239136,24.48225714,26.97730066,20.84085909,22.99299588,0,0,0,0,22.52384019,0,22.62071618,0,0,22.75039049,0,23.70461303,0,0,0,19.25341267,19.96693937,21.65961344,19.77059802,0,19.58739248,21.7354638,0,0,0,23.45825686,0,0,0,0,0,0,24.06381183,0,0,0,0,24.09808193,26.13394685,26.3814484,0,21.47878851,0,24.1493642,0,0,22.66517468,25.61607921,23.15709149,23.31990422,24.78174371,0,23.50195545,23.12507196,23.55111375,21.98109768,23.19986645,0,22.64568347,0,22.55141654,0,23.93097297,0,0,0,23.55376558,24.88100976,0,28.03063758,0,22.67861642,0,25.14043619,27.57432987,26.90639335,19.53116415,22.9523334,23.444782,0,20.25019577,0,0,23.97657837,23.51469649,23.57927778,25.36910947,20.89329341,0,22.58111502,0,24.19057986,24.62716027,24.93188611,0,24.85994424,24.13055943,0,0,23.77431454,21.02523813,0,0,0,0,0,0,0,23.81468112,0,22.33825452,0,0,0,0,22.57017853,0,0,22.25226899,21.51424142,0,24.23541092,0,21.33798319,0,0,0,20.45557614,0,21.09370558,0,0,24.36658776,23.75760774,0
SCO.9,AZS_C1,19.87860548,20.58776149,0,27.04293174,0,0,0,0,17.67228168,18.24719461,21.61846628,21.90578066,0,0,0,0,17.5310145,21.96952542,19.9403975,19.47014066,22.89750799,0,0,0,24.03634647,19.23850846,0,0,24.97810608,0,0,0,20.22698218,0,0,0,0,19.0854007,0,22.01987803,0,0,22.5673849,0,0,0,0,24.93191228,0,21.6761749,23.83706382,22.90002917,22.02579072,24.67921958,26.44206821,20.65400935,23.7827336,0,0,0,0,22.53949083,20.32850616,25.92479869,0,0,20.30034698,19.8527405,23.0650622,0,21.20397429,22.30658833,18.52267869,19.14068345,22.43891158,21.03565232,18.6769845,19.02553245,22.52289937,23.55573283,21.37054305,18.63253208,22.00215029,0,25.0296021,21.68280552,0,0,0,23.99136437,22.1844523,0,0,0,0,26.34069822,0,23.16824859,20.43069922,0,24.93659045,20.18805649,0,22.57277926,24.79878853,22.89038704,23.39451991,24.56572668,0,22.76383252,21.9897049,22.14513664,21.39336818,23.30597816,0,23.24875004,0,20.60759727,0,23.71853987,0,24.20858262,0,0,24.96083098,24.26294695,28.06524626,0,23.48650035,0,25.27321128,27.75782568,25.98052537,19.94153413,23.16806696,23.42516827,0,21.52298096,0,0,24.32666324,23.62618257,23.60814272,24.71853232,21.79188561,22.05589895,21.84788549,0,24.61120313,23.82305321,22.87373259,21.44515771,23.97594642,22.65788636,0,24.91176068,0,22.88579321,18.69843592,21.35744618,0,0,20.10592201,0,0,24.06510366,0,0,0,0,0,0,22.59208037,22.49115944,0,22.55746362,24.57343465,0,21.56750023,0,0,0,0,20.31918315,20.28537599,0,20.74988156,0,0,24.92382643,24.11581455,0
SCO.10,AZS_C1,21.27711959,0,20.15086119,28.28771401,0,0,17.67064541,0,18.81254678,19.17238536,22.83078522,0,20.10223599,19.68874853,0,19.34479289,19.03481806,21.03810407,20.62886783,20.8208347,23.59517829,0,21.46735172,19.39286431,22.09222455,19.36368836,26.63576958,21.18395603,26.45182348,0,0,0,20.80169294,0,0,0,0,0,19.80435372,23.51862256,0,0,22.6726172,0,20.97518298,0,0,25.65407166,27.56168647,0,23.72779972,0,22.48362284,25.32390772,27.39384,22.61025661,24.15069648,22.10133312,0,0,0,0,21.04713486,24.57976037,0,0,22.55115592,0,23.47589309,0,22.95073113,23.95200877,0,21.1764259,23.54071235,21.98521863,19.95656463,20.70125457,23.5365139,24.90509151,22.866685,20.11103635,23.62096013,24.03130544,26.64791939,0,0,0,0,24.48052461,21.65798933,0,0,0,0,26.81517929,26.53962729,0,21.25387064,0,25.36389524,0,0,21.54944834,24.49961673,0,24.86389175,25.14391546,0,22.42065135,20.88528263,0,20.80658461,23.149589,21.12456811,0,0,21.63284031,0,25.31411212,20.22998098,24.67697917,0,0,26.49934869,0,29.50369491,21.88957708,21.40011408,0,25.55441724,27.89948165,28.23363272,0,23.19530198,23.38488701,0,22.55033299,0,0,0,0,0,25.386299,0,0,22.64543351,0,0,24.11007631,24.23902619,22.00101928,24.12386298,22.61737,0,26.12072022,0,24.16977841,21.770352,21.55010636,0,0,21.74554726,0,23.29365408,20.91274022,0,23.96106222,21.40648244,0,0,0,20.40074029,24.21894745,0,22.97083932,21.49272804,0,24.43429324,0,0,21.3859975,0,0,21.35329973,0,21.3924514,0,0,24.92074429,23.79092834,0
